"— Kuka kaikki »vesilätäköt tuntee?""
sanoi koulumestari, kun häneltä kysyttiin
linen on miette saaliinne täältä, sil
lä ."" — lumala, joka suojelee heikkoja
on myös suojelema minuakin. Pois,
pois tyköäni, minua inhoittaa paljas
läsnä-olonnekin, minä kammoksun teitä,
niinkuin katalinta ihmistä maailmassa."""
"Mutta milä raskaus tunnossa lap
sistansa erotessa, kun tietää ett'ei niistä
maailmalle häpeää maan kunniaa, ver
rattuna suruun, mikä manhusta on ru
mennut miime aikoina v.nvaamaan sen
kautta, että sen sisälmyksiin, toisen si
mun keuhkoon, mielä manhoina päiminä
on tuo polttama, tulta oksentama, kamala"
"Vesi Jämsän jvessa on nyt niin mä«
hissä ettei koskaan ole niin ollut ja mir
tasemmat paikat on jäästä sulaneet."
"naiset ja lapset huusimat apua, ja kaikki- öli
suurimmassa sekasorrossa^ Eräästä^ toisen luo-"
"kylissä Kurkijoen'pitäjäässä, joissa kah
deksan henkeci on sairastunut vaan kaikki,
paitse yksi, omat termehtyneet, sittenkuin
asianKmamen piirilääkäri on käynyt ky-

— Nuori murhaaja. Koimulah
desta kerrotaan, Mä kuudentoista vuo
tias nuorukainen tahallansa on ampu
nut kahdeksantoista muoden manhaa
poikaa sydämeen, niin että tämä kohta"
"män
lemme."""
"Lämpömittareja,
Maidon mittareja,
vr , Rahakukkarotta,
XuKKavaaLia,
Virkkuuneuloja,
Virkkuuneulan varsia,
Hienoja saippuoita,
Parta saippuoita,
Hammasharjoja,
Sikari-imukkeita,
Kampoja, monenlaisia,
Pöytäveitsiä,
Rinta neuloja,
Ulanschetin nappia,
Kauluksen nappia,
Nallihattuja (knallhattar),
Suulakkaa y. m. y. m. 7"
"Näin eleskeli hän -n»onta päimää,
iNVnta miikkoa lemvssa ja rauhassa —
miiM eipä aina näin tuTutkaan ole»"
"Nyt lensi mapisema, muodoton armelu,
kertomaton pelko Herminan lämitse.
Han ei moinut huuliansa amata."
"Vihamiehiä löytyy, sen todistaa sekin
että ei polteta eikä rohmata perintö
maita koskaan niin kuin ruunun maita,
Mä mahtein en usko malkiaa niin roh
keasti käyttämän, enkä myös itse ota tätä
syytä, sillä en pidä koskaan tulitikkuja
kaan kuin huoneessa maan.
Metsän mahti."
"Vekseli-lankettia,
Kirjoituspaperia,
Postipaperia,
Kirjeen kuoria,
Albumia,
Muistikirjoja,
Tauluja,
Öljy väri tauluja, raamitta,
Tauluiff aarnia.
Hajuvettä,
Teräskyniä,
Lyijykyniä,
Kynän varsia.
Lakkaa,
Kynäveitsiä.
Penaalia,
Griffeltauluja,
Viivottimia,
Paperisaksia
Sirkkelejä,
Lämpömittareja,
Maidon mittareja,
Rahakukkaroita,
Kukkavaasia,
Virkkuuneuloja,
Virkkuuneulan varsia,
Hienoja saippuoita,
Parta saippuoita,
Hammasharjoja,
Sikari-imukkeita,
Kampoja, monenlaisia,
Pöytäveitsiä,
Rinta neuloja,
Manschetin nappia,
Kauluksen nappia,
Nallihattuja (knallhattar),
Suulakkaa y. m. y. m.

seuraavia lajia:
Tovn,
Gingerbread,
Royal,
Rifienuts,
Nic nac,
Domino,
Brillant,
Leaf,
Arrorv Luot,
Zaalagical,
Gingernuts,
Gems,
Nurserry,
Scobeleff,
Albert,
Tancy Nic nac,
Lemondessert,
Aimond,
Damaski,
Rings,
Union,
Slavonie,
Starr,
Rassberry,
Mixed,
Aimond glasär,
Royal glas,
Vanilla,
Clraknel,"
"Tulipalon merkki on, jos orama metsästä
tulee kartanolle juoksentelemaan tahi se
sitten ennustaa jotain muuta elämän"
"Sirkkelejä,
Lämpömittareja,
Maidon mittareja,
Ranakukkaroita,
Kukkavaasia,
Virkkuunenlaja,
Virkkuuneulan varsia,
Hienoja saippuoita.
Parta saippuoita,
Hammasharjoja,
Sikari-imukkeita,
Kampoja, monenlaisia,
Pöytäveitsiä,
Rinta neuloja,


KatsotMstänne!
nf|\ppbädn Hynärittäin roajitustä
VjJL marastostä käikenlcksia kankaita
¦ alennetulla hinnalla, kohta saa
pinoan talvikangas-varabton
edestä pois. "
"— Työnlakkautus, naisien teke
mä, on näinä päiminä tapahtunut erääs
sä damastitehtaasta Danfermlinessä
Skottlannissa. Niskottelemien naisten
luku on 1,000."
"maskin, -i, 
, >,Eriliomaisen hymä arvostehu""^ivirk
koi tuomari. Kaynet omat sieiyät ja
kauniit. Hakekaamme tuo kaunis tuno
silmistä, tutkiaksemme, jos armöstelija
on puhunut totta."""
"Vekseli-knkettia, Kirjoituspaperia, Postipaperia, Kirjeen kuoria, Albumia, Muistikirjoja, Tauluja, Ölyväri tauluja, raamitta, Taulunraamia, Hajuvettä, Teräskyniä, Lyijykyniä, Kynän varsia, Lakkaa, Kynäveitsiä, Penaalia, Griffeltauluja, Viivottimia, Paperisaksia Sirkkelejä, Lämpömittareja, Maidon mittareja, Rahakukkaroita, Kukkavaasia. Virkkuuiieuloja, Virkkuuneulan varsia, Hienoja saippuoita, Parta saippuoita, Hammasharjoja, Sikari-imukkeita, Kampoja, monenlaisia, POytäveitsiäjf Rinta neuloja, Manschetin nappia, Kauluksen nappia, Nallikattuja (knallhattar),'^ Kuulakkaa y. m. v. m^ ,

Tuon
tuostakin tapahtumat mahingonmaarat,
joihin on syynä petrolemm-öljy, on an
tanut aihetta hra Tumskille antaa ulos
kirjasen, jossa neumotaan miten on me
neteltämä petroleumi-lamppujen kanssa.
Hän nemvoo petroleumi-lamppujen suh
teen olemaan hylyin maromainen. Lam
pun kaikki osat, etenkin sytytin ja öljy
säiliö, omat hymin puhtaina pidettämät
ja joka päitvä pyyhittämät. öljysäiliön
sisustaa pitää tuon tuostakin pestä
lämpymällä, saipuaisella medellä ja sit
temmin antaa sen hylyin tuimaa. Sy
dän pitää aina valita oikein sopima
fytytintormeen; jos se on hienompi tor
vea, tunkeutuu sinne ilmaa, joka moipi
aikaan saada räjähdyksen. Palanut
karsi pitää aina sydämmestä leikata
pois. Lamppu on aina kerrassaan kaa
dettama täyteen eikä koskaan saa pala
maan lamppuun lisätä öljyä, eikä pi
tää tulta sen lähellä öljyä kaadettaessa,
niinkuin on usean tapana tehdä ilta
sella, josta syystä on tapahtunut niin
monta räjähdystä, kun tuli on sytyttä
nyt


tarjokas.
kyllä sitten kelpaat ja pestiä
saat pituutesi nmoksi kolme ruplaa, maikka
ruunun maata ei ole kuin vuolikolmatta;"
